11;Лечение органов дыхания, горла
12;Офтальмология
13;Аллергология
14;Лечение алкоголизма
15;Онкологическое/противоопухолевое средство
16;Противогрибковое средство
17;Противоглистное средство
18;Противовирусное средство
19;Дезинфицирующее средство, антисептик
20;Антибактериальное средство
21;Средство, регулирующее функцию органов мочеполовой системы и репродукцию
22;Лечение сердечно-сосудистой системы
23;Лечение костной и хрящевой ткани
24;Источник витаминов и минералов
25;Анальгетик
26;Желудочно-кишечное средство
27;Успокаивающее, снотворное
28;Повышение иммунитета, общеукрепляющее
29;Мужское здоровье
30;Женское здоровье
31;Лактогонное средство
32;Лечение почек
33;Лечение печени
34;Средство от мигрени
35;Помощь при ожогах
36;Жаропонижающее средство
37;Противогнойное
38;Помощь при отравлениях
39;Противовоспалительное средство
40;Стоматология
41;Ранозаживляющее
42;Потогонное
43;Противосудорожное
44;Кровоостанавливающее средство
45;Неврология
46;Антиоксидант
47;Дерматология
48;Ревматизм
49;Радикулит
50;обмен веществ
51;уши
52;антидот
53;при диабете
54;анемия
55;туберкулез
56;защита от радиации
57;эндокринология
58;тонизирующее 
59;вяжущее
61;гемророй
60;кислородное голодание
62;диабет
63;заболевания молочной железы